2 cores
512 7.53214 7.52697
1024 29.923 29.9145
1536 67.0508 67.0394
2048 119.219 119.205
2560 185.982 185.964
3072 267.48 267.459
3584 364.191 364.166
4096 476.607 476.579
4608 601.518 601.486
5120 746.036 746.001
4 cores
512 3.93186 3.92666
1024 15.2976 15.2892
1536 34.1939 34.1824
2048 60.7346 60.7199
2560 94.4901 94.4718
3072 135.953 135.931
3584 184.797 184.772
4096 241.262 241.233
4608 305.07 305.038
5120 376.438 376.403
6 cores
512 5.74231 5.73469
1024 22.0659 22.0553
1536 49.5732 49.5596
2048 87.4345 87.4175
2560 135.031 135.01
3072 188.389 188.365
3584 258.097 258.07
4096 333.642 333.612
4608 406.506 406.473
5120 495.185 495.148
8 cores
512 4.26292 4.25541
1024 17.0804 17.0696
1536 36.7753 36.7593
2048 69.4028 69.3855
2560 106.353 106.332
3072 165.589 165.565
3584 211.329 211.302
4096 283.697 283.667
4608 354.518 354.485
5120 414.716 414.678
10 cores
512 5.33956 5.33188
1024 22.1312 22.1203
1536 47.9703 47.9563
2048 89.4401 89.4227
2560 138.138 138.117
3072 200.4 200.376
3584 252.396 252.369
4096 319.561 319.531
4608 395.134 395.1
5120 477.433 477.396
12 cores
512 4.31733 4.30976
1024 17.6164 17.6057
1536 41.0473 41.0334
2048 74.2117 74.1944
2560 115.341 115.32
3072 181.875 181.851
3584 228.41 228.383
4096 298.157 298.127
4608 360.375 360.341
5120 436.253 436.216
14 cores
512 5.07288 5.06528
1024 20.9146 20.9038
1536 48.846 48.8321
2048 83.1671 83.1499
2560 132.538 132.518
3072 196.051 196.027
3584 241.002 240.975
4096 316.478 316.448
4608 379.293 379.259
5120 461.878 461.841
16 cores
512 4.38742 4.37986
1024 17.1063 17.0955
1536 39.358 39.3442
2048 75.5322 75.515
2560 115.808 115.787
3072 189.785 189.761
3584 233.338 233.31
4096 301.232 301.202
4608 371.433 371.399
5120 439.06 439.023
