2 cores
512 12.3902 12.3864
1024 44.8774 44.8718
1536 98.4608 98.4533
2048 172.801 172.791
2560 268.296 268.284
3072 385.775 385.762
3584 526.736 526.721
4096 682.425 682.407
4608 868.651 868.632
5120 1068.99 1068.96
4 cores
512 6.15609 6.15196
1024 24.4176 24.412
1536 54.7775 54.7692
2048 85.7653 85.755
2560 146.927 146.915
3072 193.968 193.954
3584 273.465 273.449
4096 343.664 343.647
4608 436.496 436.476
5120 535.966 535.944
6 cores
512 3.79437 3.79042
1024 14.6944 14.6886
1536 34.1829 34.1747
2048 57.9429 57.9316
2560 90.1393 90.1266
3072 129.651 129.636
3584 176.399 176.383
4096 230.243 230.225
4608 291.43 291.409
5120 361.036 361.013
8 cores
512 3.65904 3.65515
1024 14.3325 14.3265
1536 31.971 31.9628
2048 56.5876 56.5773
2560 88.3514 88.3391
3072 126.9 126.885
3584 172.634 172.618
4096 225.545 225.526
4608 279.299 279.279
5120 351.846 351.822
